<<<<<<< HEAD
FRA7,Dayot Upamecano,Franca,Grupo I,Comum
FRA15,Ousmane Dembele,Franca,Grupo I,Comum
MEX6,Jesus Gallardo,Mexico,Grupo A,Comum
IRQ10,Amir Al-Ammari,Iraque,Grupo I,Comum
NOR15,Erling Haaland,Noruega,Grupo I,Comum
CAN4,Alistair Johnston,Canada,Grupo B,Comum
CRO5,Josip Stanisic,Croacia,Grupo L,Comum
NED7,Nathan Ake,Holanda,Grupo F,Comum
AUS3,Joe Gauci,Australia,Grupo D,Comum
QAT18,Akram Hassan Afif,Qatar,Grupo B,Comum
JOR2,Yazeed Abulaila,Jordania,Grupo J,ComumALG13,Foto da Equipe,Argelia,Grupo J,Comum
JOR20,Ibrahim Sabra,Jordania,Grupo J,Comum
EGY15,Emam Ashour,Egito,Grupo G,Comum
NZL6,Tim Payne,Nova Zelandia,Grupo G,Comum
SEN14,Lamine Camara,Senegal,Grupo I,Comum
ALG16,Said Benrhama,Argelia,Grupo J,Comum
SEN11,Pape Gueye,Senegal,Grupo I,Comum
GHA3,Tariq Lamptey,Gana,Grupo L,Comum
NZL6,Tim Payne,Nova Zelandia,Grupo G,Comum
CUW20,Sontje Hansen,Curacao,Grupo E,Comum
URU9,Nahitan Nandez,Uruguai,Grupo H,Comum
COL15,Juan Fernando Quintero,Colombia,Grupo K,Comum
SCO16,Kenny McLean,Escocia,Grupo C,Comum
TUR3,Mert Muldur,Turquia,Grupo D,Comum
IRN12,Saman Ghoddos,Ira,Grupo G,Comum
CZE8,David Zima,Republica Tcheca,Grupo A,Comum
CAN4,Alistair Johnston,Canada,Grupo B,Comum
MEX4,Jorge Sanchez,Mexico,Grupo A,Comum
FWC13,Alemanha 1974,FIFA World Cup 2026,,Especial
NED5,Jurien Timber,Holanda,Grupo F,Comum
KOR11,In-beom Hwang,Coreia do Sul,Grupo A,Comum
CRO8,Kristijan Jakic,Croacia,Grupo L,Comum
MEX12,Marcel Ruiz,Mexico,Grupo A,Comum
HAI10,Leverton Pierre,Haiti,Grupo C,Comum
NOR5,Kristoffer Vassbakk Ajer,Noruega,Grupo I,Comum
ECU13,Foto da Equipe,Equador,Grupo E,Comum
JPN17,Shuto Machino,Japao,Grupo F,Comum
CPV12,Jamiro Monteiro,Cabo Verde,Grupo H,Comum
BEL11,Nicolas Raskin,Belgica,Grupo G,Comum
CRO6,Luka Vuskovic,Croacia,Grupo L,Comum
FWC16,Brasil 2002,FIFA World Cup 2026,,Especial
GHA20,Antoine Semenyo,Gana,Grupo L,Comum
IRQ2,Jalal Hassan,Iraque,Grupo I,Comum
MEX4,Jorge Sanchez,Mexico,Grupo A,Comum
COL18,Jhon Cordova,Colombia,Grupo K,Comum
SEN16,Ismaila Sarr,Senegal,Grupo I,Comum
CAN4,Alistair Johnston,Canada,Grupo B,Comum
COL15,Juan Fernando Quintero,Colombia,Grupo K,Comum
COL14,James Rodriguez,Colombia,Grupo K,Comum
COD13,Foto da Equipe,RD Congo,Grupo K,Comum
ALG10,Hicham Boudaoui,Argelia,Grupo J,Comum
SWE10,Jesper Karlstrom,Suecia,Grupo F,Comum
HAI10,Leverton Pierre,Haiti,Grupo C,Comum
USA8,Tyler Adams,Estados Unidos,Grupo D,Comum
GER14,Leon Goretzka,Alemanha,Grupo E,Comum
AUS14,Aiden O'Neill,Australia,Grupo D,Comum
CIV19,Evann Guessand,Costa do Marfim,Grupo E,Comum
POR6,Diogo Dalot,Portugal,Grupo K,Comum
ALG5,Rayan Ait-Nouri,Argelia,Grupo J,Comum
MAR13,Foto da Equipe,Marrocos,Grupo C,Comum
NED17,Memphis Depay,Holanda,Grupo F,Comum
COD5,Arthur Masuaku,RD Congo,Grupo K,Comum
KSA13,Foto da Equipe,Arabia Saudita,Grupo H,Comum
USA2,Math Freese,Estados Unidos,Grupo D,Comum
IRQ2,Jalal Hassan,Iraque,Grupo I,Comum
USA19,Haji Wright,Estados Unidos,Grupo D,Comum
TUR14,Arda Guler,Turquia,Grupo D,Comum
SWE3,Isak Hien,Suecia,Grupo F,Comum
AUT17,Patrick Wimmer,Austria,Grupo J,Comum
IRN11,Saeed Ezatolahi,Ira,Grupo G,Comum
CPV19,Willy Semedo,Cabo Verde,Grupo H,Comum
NZL18,Elijah Just,Nova Zelandia,Grupo G,Comum
ALG2,Alexis Guendouz,Argelia,Grupo J,Comum
CPV9,Yannick Semedo,Cabo Verde,Grupo H,Comum
CUW17,Jurgen Locadia,Curacao,Grupo E,Comum
CUW7,Roshon Van Eijma,Curacao,Grupo E,Comum
GHA2,Lawrence Ati Zigi,Gana,Grupo L,Comum
PAR12,Andres Cubas,Paraguai,Grupo D,Comum
ALG16,Said Benrhama,Argelia,Grupo J,Comum
FRA10,Eduardo Camavinga,Franca,Grupo I,Comum
URU9,Nahitan Nandez,Uruguai,Grupo H,Comum
BRA7,Danilo,Brasil,Grupo C,Comum
COL3,David Ospina,Colombia,Grupo K,Comum
IRQ20,Mohanad Ali,Iraque,Grupo I,Comum
ECU13,Foto da Equipe,Equador,Grupo E,Comum
SUI20,Zeki Amdouni,Suica,Grupo B,Comum
SUI18,Ruben Vargas,Suica,Grupo B,Comum
AUT3,Patrick Pentz,Austria,Grupo J,Comum
